,geometry,site_name,water_pixels_orig,inundated_vegetation_orig,total_pixels_orig,water_pixels_crop,inundated_vegetation_crop,total_pixels_crop,percent_water_orig,percent_inundated_vegetation_orig,percent_water_crop,percent_inundated_vegetation_crop,percent_total_water_orig,percent_total_water_crop
0,"POLYGON ((-159.6652226727612 69.26008781922364, -159.66385205269899 69.21525084868811, -159.79009387312698 69.21471895527894, -159.79172507697353 69.25955467236736, -159.6652226727612 69.26008781922364))",3_38,0.0,0.0,1252157,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
1,"POLYGON ((-113.00030535097231 67.04573654353207, -112.99662014206814 67.000911742264, -113.11121978390845 66.9994320252706, -113.11511613840437 67.04425361329587, -113.00030535097231 67.04573654353207))",4_27,286582.0,8919.0,1251485,78861.0,3701.0,250000,22.89935556558808,0.7126733440672481,31.5444,1.4804,23.61202890965533,33.0248
2,"POLYGON ((17.818132286534883 65.99817145732314, 17.813194156017286 65.95336747966537, 17.703353340835527 65.95533883857445, 17.708099248527713 66.0001469510308, 17.818132286534883 65.99817145732314))",4_43,556111.0,41908.0,1244440,192790.0,2307.0,250000,44.687650670180965,3.3676191700684646,77.116,0.9228000000000001,48.05526984024943,78.0388
3,"POLYGON ((59.782864383194294 65.84085867401473, 59.7780237234885 65.79605242416044, 59.66885041574198 65.79799655199554, 59.67350140622419 65.84280685959445, 59.782864383194294 65.84085867401473))",3_1,17647.0,246974.0,1244553,7271.0,41560.0,250000,1.4179388101591495,19.844393930993697,2.9084,16.624,21.262332741152846,19.5324
4,"POLYGON ((-96.51417911166678 62.72101085209295, -96.51794191668493 62.6761746711275, -96.61548848175312 62.677867461285956, -96.61187320804939 62.72270688110921, -96.51417911166678 62.72101085209295))",4_34,87513.0,141601.0,1247523,25947.0,69078.0,250000,7.014940806702562,11.350572294057905,10.3788,27.6312,18.365513100760467,38.01
5,"POLYGON ((131.104374198078 61.49988221371871, 131.1013482171308 61.45502610371037, 131.00761614094134 61.4564396782865, 131.01050737262818 61.50129841611214, 131.104374198078 61.49988221371871))",3_30,54180.0,34245.0,1247988,12979.0,117.0,250000,4.341387897960558,2.7440167693920134,5.191599999999999,0.0468,7.085404667352571,5.2383999999999995
6,"POLYGON ((-75.97035229810228 60.745816091215964, -75.9689994009457 60.700931128071595, -76.06056989729696 60.70023778728749, -76.06205058730204 60.745121482203075, -75.97035229810228 60.745816091215964))",4_26,171222.0,163807.0,1250952,49956.0,9813.0,250000,13.687335725111755,13.094587162417104,19.9824,3.9252000000000002,26.781922887528857,23.9076
7,"POLYGON ((102.06018156224246 59.90849054915549, 102.0641422065434 59.86365248828346, 101.97499121775057 59.86163361577662, 101.97091074513345 59.90646805174879, 102.06018156224246 59.90849054915549))",2_24,45.0,824.0,1471092,26.0,119.0,250000,0.0030589521253599366,0.05601281225103529,0.0104,0.0476,0.059071764376395226,0.058
8,"POLYGON ((31.93346198537126 59.71969002876528, 31.934888582458466 59.67479940862581, 31.84613440863196 59.674048992865934, 31.844588997239978 59.71893826909023, 31.93346198537126 59.71969002876528))",3_25,0.0,0.0,1249824,0.0,0.0,250000,0.0,0.0,0.0,0.0,0.0,0.0
9,"POLYGON ((-119.48525831118742 59.49449694890572, -119.48196461158665 59.44963919766495, -119.5700577749098 59.447935034730115, -119.57346806983443 59.492789749817454, -119.48525831118742 59.49449694890572))",3_5,12534.0,0.0,1249920,9063.0,0.0,250000,1.002784178187404,0.0,3.6252,0.0,1.002784178187404,3.6252
