,geometry,centerLat,centerLon,stopTime,fileID,flightDirection,pathNumber,processingLevel,url,startTime,sceneName,browse,platform,bytes,md5sum,frameNumber,granuleType,orbit,polarization,processingDate,sensor,groupID,pgeVersion,fileName,beamModeType,date_str,mgrs_tile_id,acq_dt,acq_date
0,"POLYGON ((-109.730247 56.9501, -109.048904 58.608799, -113.394562 59.025921, -113.87735 57.360329, -109.730247 56.9501))",58.0043,-111.5045,2018-09-25T13:45:26.274Z,S1B_IW_SLC__1SDV_20180925T134458_20180925T134526_012872_017C51_2B37-SLC,DESCENDING,71,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180925T134458_20180925T134526_012872_017C51_2B37.zip,2018-09-25 13:44:58.366000+00:00,S1B_IW_SLC__1SDV_20180925T134458_20180925T134526_012872_017C51_2B37,,Sentinel-1B,4466764693,7295b0c5797bc94b77d0f083760f2322,399,SENTINEL_1B_FRAME,12872,VV+VH,2018-09-25T13:44:58.366Z,C-SAR,S1B_IWDV_0399_0404_012872_071,002.91,S1B_IW_SLC__1SDV_20180925T134458_20180925T134526_012872_017C51_2B37.zip,IW,2018-09-25,12VVK,2018-09-25 13:44:58.366000+00:00,2018-09-25
1,"POLYGON ((-109.730301 56.950043, -109.048912 58.608742, -113.39444 59.025883, -113.877274 57.360287, -109.730301 56.950043))",58.0042,-111.5045,2018-09-13T13:45:26.055Z,S1B_IW_SLC__1SDV_20180913T134458_20180913T134526_012697_0176EB_4CCE-SLC,DESCENDING,71,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180913T134458_20180913T134526_012697_0176EB_4CCE.zip,2018-09-13 13:44:58.147000+00:00,S1B_IW_SLC__1SDV_20180913T134458_20180913T134526_012697_0176EB_4CCE,,Sentinel-1B,4573490701,e2ccd1dece01038fcaf55f39f1fd1a6d,399,SENTINEL_1B_FRAME,12697,VV+VH,2018-09-13T13:44:58.147Z,C-SAR,S1B_IWDV_0398_0405_012697_071,002.91,S1B_IW_SLC__1SDV_20180913T134458_20180913T134526_012697_0176EB_4CCE.zip,IW,2018-09-13,12VVK,2018-09-13 13:44:58.147000+00:00,2018-09-13
2,"POLYGON ((-109.729706 56.949863, -109.048225 58.608681, -113.393692 59.025848, -113.876602 57.360134, -109.729706 56.949863))",58.0041,-111.5038,2018-09-01T13:45:25.549Z,S1B_IW_SLC__1SDV_20180901T134457_20180901T134525_012522_017194_1EFA-SLC,DESCENDING,71,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180901T134457_20180901T134525_012522_017194_1EFA.zip,2018-09-01 13:44:57.638000+00:00,S1B_IW_SLC__1SDV_20180901T134457_20180901T134525_012522_017194_1EFA,,Sentinel-1B,4876887552,7f91907b29d70e3e23dee60540f99590,399,SENTINEL_1B_FRAME,12522,VV+VH,2018-09-01T13:44:57.638Z,C-SAR,S1B_IWDV_0398_0405_012522_071,002.91,S1B_IW_SLC__1SDV_20180901T134457_20180901T134525_012522_017194_1EFA.zip,IW,2018-09-01,12VVK,2018-09-01 13:44:57.638000+00:00,2018-09-01
3,"POLYGON ((-109.72963 56.949829, -109.048103 58.608646, -113.393532 59.025845, -113.876495 57.36013, -109.72963 56.949829))",58.0041,-111.5037,2018-08-20T13:45:25.100Z,S1B_IW_SLC__1SDV_20180820T134457_20180820T134525_012347_016C2C_EA3F-SLC,DESCENDING,71,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180820T134457_20180820T134525_012347_016C2C_EA3F.zip,2018-08-20 13:44:57.190000+00:00,S1B_IW_SLC__1SDV_20180820T134457_20180820T134525_012347_016C2C_EA3F,,Sentinel-1B,4727331171,08751f4227b83fe08e14445186300874,399,SENTINEL_1B_FRAME,12347,VV+VH,2018-08-20T13:44:57.190Z,C-SAR,S1B_IWDV_0398_0405_012347_071,002.91,S1B_IW_SLC__1SDV_20180820T134457_20180820T134525_012347_016C2C_EA3F.zip,IW,2018-08-20,12VVK,2018-08-20 13:44:57.190000+00:00,2018-08-20
4,"POLYGON ((-109.729576 56.950092, -109.048164 58.608913, -113.393776 59.026047, -113.876625 57.360329, -109.729576 56.950092))",58.0043,-111.5038,2018-08-08T13:45:24.104Z,S1B_IW_SLC__1SDV_20180808T134456_20180808T134524_012172_0166B7_41E9-SLC,DESCENDING,71,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180808T134456_20180808T134524_012172_0166B7_41E9.zip,2018-08-08 13:44:56.193000+00:00,S1B_IW_SLC__1SDV_20180808T134456_20180808T134524_012172_0166B7_41E9,,Sentinel-1B,4812049897,347a6203ecde0d878a08b73c36bf880d,399,SENTINEL_1B_FRAME,12172,VV+VH,2018-08-08T13:44:56.193Z,C-SAR,S1B_IWDV_0398_0405_012172_071,002.91,S1B_IW_SLC__1SDV_20180808T134456_20180808T134524_012172_0166B7_41E9.zip,IW,2018-08-08,12VVK,2018-08-08 13:44:56.193000+00:00,2018-08-08
5,"POLYGON ((-109.730576 56.950127, -109.049171 58.608952, -113.394691 59.026073, -113.877541 57.360355, -109.730576 56.950127))",58.0043,-111.5047,2018-07-27T13:45:23.705Z,S1B_IW_SLC__1SDV_20180727T134455_20180727T134523_011997_016162_4173-SLC,DESCENDING,71,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180727T134455_20180727T134523_011997_016162_4173.zip,2018-07-27 13:44:55.794000+00:00,S1B_IW_SLC__1SDV_20180727T134455_20180727T134523_011997_016162_4173,,Sentinel-1B,4780614752,db3dc96ed8bdca6f50a4a048d9fe00fd,399,SENTINEL_1B_FRAME,11997,VV+VH,2018-07-27T13:44:55.794Z,C-SAR,S1B_IWDV_0399_0404_011997_071,002.91,S1B_IW_SLC__1SDV_20180727T134455_20180727T134523_011997_016162_4173.zip,IW,2018-07-27,12VVK,2018-07-27 13:44:55.794000+00:00,2018-07-27
6,"POLYGON ((-109.72995 56.950535, -109.048569 58.609241, -113.394028 59.026356, -113.876862 57.360756, -109.72995 56.950535))",58.0047,-111.5041,2018-07-15T13:45:22.825Z,S1B_IW_SLC__1SDV_20180715T134454_20180715T134522_011822_015C19_1BCE-SLC,DESCENDING,71,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180715T134454_20180715T134522_011822_015C19_1BCE.zip,2018-07-15 13:44:54.916000+00:00,S1B_IW_SLC__1SDV_20180715T134454_20180715T134522_011822_015C19_1BCE,,Sentinel-1B,4855038326,cb0694cb07313b1447d3ccd951625012,399,SENTINEL_1B_FRAME,11822,VV+VH,2018-07-15T13:44:54.916Z,C-SAR,S1B_IWDV_0399_0404_011822_071,002.91,S1B_IW_SLC__1SDV_20180715T134454_20180715T134522_011822_015C19_1BCE.zip,IW,2018-07-15,12VVK,2018-07-15 13:44:54.916000+00:00,2018-07-15
7,"POLYGON ((-109.730194 56.95034, -109.048767 58.609035, -113.394325 59.026207, -113.877197 57.360615, -109.730194 56.95034))",58.0045,-111.5043,2018-07-03T13:45:22.357Z,S1B_IW_SLC__1SDV_20180703T134454_20180703T134522_011647_0156B5_5A7B-SLC,DESCENDING,71,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180703T134454_20180703T134522_011647_0156B5_5A7B.zip,2018-07-03 13:44:54.449000+00:00,S1B_IW_SLC__1SDV_20180703T134454_20180703T134522_011647_0156B5_5A7B,,Sentinel-1B,4938488808,bf281cd4da881b616660d1f676bdb905,399,SENTINEL_1B_FRAME,11647,VV+VH,2018-07-03T13:44:54.449Z,C-SAR,S1B_IWDV_0398_0405_011647_071,002.91,S1B_IW_SLC__1SDV_20180703T134454_20180703T134522_011647_0156B5_5A7B.zip,IW,2018-07-03,12VVK,2018-07-03 13:44:54.449000+00:00,2018-07-03
8,"POLYGON ((-109.728905 56.949654, -109.047333 58.608444, -113.39312 59.025719, -113.876122 57.360023, -109.728905 56.949654))",58.0039,-111.5031,2017-09-30T13:45:19.850Z,S1B_IW_SLC__1SDV_20170930T134451_20170930T134519_007622_00D75D_F689-SLC,DESCENDING,71,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170930T134451_20170930T134519_007622_00D75D_F689.zip,2017-09-30 13:44:51.940000+00:00,S1B_IW_SLC__1SDV_20170930T134451_20170930T134519_007622_00D75D_F689,,Sentinel-1B,4636738347,613d80585aa8073626ae4c2bc94e841a,399,SENTINEL_1B_FRAME,7622,VV+VH,2017-09-30T13:44:51.940Z,C-SAR,S1B_IWDV_0399_0404_007622_071,002.84,S1B_IW_SLC__1SDV_20170930T134451_20170930T134519_007622_00D75D_F689.zip,IW,2017-09-30,12VVK,2017-09-30 13:44:51.940000+00:00,2017-09-30
9,"POLYGON ((-109.730606 56.949879, -109.049217 58.608566, -113.394966 59.025734, -113.8778 57.360149, -109.730606 56.949879))",58.004,-111.5049,2017-09-18T13:45:19.540Z,S1B_IW_SLC__1SDV_20170918T134451_20170918T134519_007447_00D256_6B9C-SLC,DESCENDING,71,SLC,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170918T134451_20170918T134519_007447_00D256_6B9C.zip,2017-09-18 13:44:51.632000+00:00,S1B_IW_SLC__1SDV_20170918T134451_20170918T134519_007447_00D256_6B9C,,Sentinel-1B,4615797570,0fb04386a6f710198c0fa5a27b18907c,399,SENTINEL_1B_FRAME,7447,VV+VH,2017-09-18T13:44:51.632Z,C-SAR,S1B_IWDV_0399_0404_007447_071,002.84,S1B_IW_SLC__1SDV_20170918T134451_20170918T134519_007447_00D256_6B9C.zip,IW,2017-09-18,12VVK,2017-09-18 13:44:51.632000+00:00,2017-09-18
