,dswx_s1_id,dswx_s1_wtr,dswx_s1_conf
0,OPERA_L3_DSWx-S1_T22JDM_20240508T220706Z_20240524T005858Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDM_20240508T220706Z_20240524T005858Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDM_20240508T220706Z_20240524T005858Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDM_20240508T220706Z_20240524T005858Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDM_20240508T220706Z_20240524T005858Z_S1A_30_v0.1_B03_CONF.tif
1,OPERA_L3_DSWx-S1_T22JDM_20231125T084942Z_20240524T002720Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDM_20231125T084942Z_20240524T002720Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDM_20231125T084942Z_20240524T002720Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDM_20231125T084942Z_20240524T002720Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDM_20231125T084942Z_20240524T002720Z_S1A_30_v0.1_B03_CONF.tif
2,OPERA_L3_DSWx-S1_T22JDN_20231125T084929Z_20240524T002823Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDN_20231125T084929Z_20240524T002823Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDN_20231125T084929Z_20240524T002823Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDN_20231125T084929Z_20240524T002823Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDN_20231125T084929Z_20240524T002823Z_S1A_30_v0.1_B03_CONF.tif
3,OPERA_L3_DSWx-S1_T22JDN_20240508T220719Z_20240524T005847Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDN_20240508T220719Z_20240524T005847Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDN_20240508T220719Z_20240524T005847Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JDN_20240508T220719Z_20240524T005847Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JDN_20240508T220719Z_20240524T005847Z_S1A_30_v0.1_B03_CONF.tif
4,OPERA_L3_DSWx-S1_T22JCN_20240508T220722Z_20240524T005828Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JCN_20240508T220722Z_20240524T005828Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JCN_20240508T220722Z_20240524T005828Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JCN_20240508T220722Z_20240524T005828Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JCN_20240508T220722Z_20240524T005828Z_S1A_30_v0.1_B03_CONF.tif
5,OPERA_L3_DSWx-S1_T22JCN_20231125T084932Z_20240524T002801Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JCN_20231125T084932Z_20240524T002801Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JCN_20231125T084932Z_20240524T002801Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JCN_20231125T084932Z_20240524T002801Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JCN_20231125T084932Z_20240524T002801Z_S1A_30_v0.1_B03_CONF.tif
6,OPERA_L3_DSWx-S1_T22JBN_20240508T220727Z_20240524T005838Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JBN_20240508T220727Z_20240524T005838Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JBN_20240508T220727Z_20240524T005838Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JBN_20240508T220727Z_20240524T005838Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JBN_20240508T220727Z_20240524T005838Z_S1A_30_v0.1_B03_CONF.tif
7,OPERA_L3_DSWx-S1_T22JBN_20231125T084936Z_20240524T002834Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JBN_20231125T084936Z_20240524T002834Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JBN_20231125T084936Z_20240524T002834Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JBN_20231125T084936Z_20240524T002834Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JBN_20231125T084936Z_20240524T002834Z_S1A_30_v0.1_B03_CONF.tif
8,OPERA_L3_DSWx-S1_T22JBM_20240508T220727Z_20240524T005909Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JBM_20240508T220727Z_20240524T005909Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JBM_20240508T220727Z_20240524T005909Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JBM_20240508T220727Z_20240524T005909Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JBM_20240508T220727Z_20240524T005909Z_S1A_30_v0.1_B03_CONF.tif
9,OPERA_L3_DSWx-S1_T22JBM_20231125T084950Z_20240524T002741Z_S1A_30_v0.1,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JBM_20231125T084950Z_20240524T002741Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JBM_20231125T084950Z_20240524T002741Z_S1A_30_v0.1_B01_WTR.tif,https://opera-pst-rs-pop1.s3.us-west-2.amazonaws.com/products/DSWx_S1/OPERA_L3_DSWx-S1_T22JBM_20231125T084950Z_20240524T002741Z_S1A_30_v0.1/OPERA_L3_DSWx-S1_T22JBM_20231125T084950Z_20240524T002741Z_S1A_30_v0.1_B03_CONF.tif
