,geometry,centerLat,centerLon,stopTime,fileID,flightDirection,pathNumber,processingLevel,url,startTime,sceneName,browse,platform,bytes,md5sum,frameNumber,granuleType,orbit,polarization,processingDate,sensor,groupID,pgeVersion,fileName,beamModeType,date_str,mgrs_tile_id,acq_dt,acq_date
0,"POLYGON ((-82.508102 27.800699, -82.152008 26.168142, -79.640396 26.583879, -79.957733 28.213604, -82.508102 27.800699))",27.1973,-81.0669,2023-08-22T23:29:16.285Z,S1A_IW_SLC__1SDV_20230822T232849_20230822T232916_049995_0603CA_AED5-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230822T232849_20230822T232916_049995_0603CA_AED5.zip,2023-08-22 23:28:49.223000+00:00,S1A_IW_SLC__1SDV_20230822T232849_20230822T232916_049995_0603CA_AED5,,Sentinel-1A,4461446998,ba2f163879fa783bb0b4942b60da256a,84,SENTINEL_1A_FRAME,49995,VV+VH,2023-08-22T23:28:49.223Z,C-SAR,S1A_IWDV_0083_0090_049995_048,003.61,S1A_IW_SLC__1SDV_20230822T232849_20230822T232916_049995_0603CA_AED5.zip,IW,2023-08-22,17RMJ,2023-08-22 23:28:49.223000+00:00,2023-08-22
1,"POLYGON ((-82.181282 26.302958, -81.817863 24.618307, -79.340073 25.036898, -79.66658 26.718458, -82.181282 26.302958))",25.6745,-80.7535,2023-08-22T23:28:51.458Z,S1A_IW_SLC__1SDV_20230822T232823_20230822T232851_049995_0603CA_F4DF-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230822T232823_20230822T232851_049995_0603CA_F4DF.zip,2023-08-22 23:28:23.543000+00:00,S1A_IW_SLC__1SDV_20230822T232823_20230822T232851_049995_0603CA_F4DF,,Sentinel-1A,4415667418,9debe931b0889a550fd53628cafe6759,79,SENTINEL_1A_FRAME,49995,VV+VH,2023-08-22T23:28:23.543Z,C-SAR,S1A_IWDV_0078_0085_049995_048,003.61,S1A_IW_SLC__1SDV_20230822T232823_20230822T232851_049995_0603CA_F4DF.zip,IW,2023-08-22,17RMJ,2023-08-22 23:28:23.543000+00:00,2023-08-22
2,"POLYGON ((-82.505615 27.800138, -82.149521 26.167576, -79.637985 26.583307, -79.955322 28.213036, -82.505615 27.800138))",27.1968,-81.0644,2023-08-10T23:29:15.090Z,S1A_IW_SLC__1SDV_20230810T232848_20230810T232915_049820_05FDCE_E683-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230810T232848_20230810T232915_049820_05FDCE_E683.zip,2023-08-10 23:28:48.029000+00:00,S1A_IW_SLC__1SDV_20230810T232848_20230810T232915_049820_05FDCE_E683,,Sentinel-1A,4472630359,b83c8f8094c890d3258114fae2498c91,84,SENTINEL_1A_FRAME,49820,VV+VH,2023-08-10T23:28:48.029Z,C-SAR,S1A_IWDV_0083_0090_049820_048,003.61,S1A_IW_SLC__1SDV_20230810T232848_20230810T232915_049820_05FDCE_E683.zip,IW,2023-08-10,17RMJ,2023-08-10 23:28:48.029000+00:00,2023-08-10
3,"POLYGON ((-82.178749 26.302143, -81.815277 24.617239, -79.337563 25.035826, -79.664124 26.717638, -82.178749 26.302143))",25.6736,-80.751,2023-08-10T23:28:50.259Z,S1A_IW_SLC__1SDV_20230810T232822_20230810T232850_049820_05FDCE_8C6A-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230810T232822_20230810T232850_049820_05FDCE_8C6A.zip,2023-08-10 23:28:22.341000+00:00,S1A_IW_SLC__1SDV_20230810T232822_20230810T232850_049820_05FDCE_8C6A,,Sentinel-1A,4238133888,ea77a697b118dcb8133883b83d883d13,79,SENTINEL_1A_FRAME,49820,VV+VH,2023-08-10T23:28:22.341Z,C-SAR,S1A_IWDV_0078_0085_049820_048,003.61,S1A_IW_SLC__1SDV_20230810T232822_20230810T232850_049820_05FDCE_8C6A.zip,IW,2023-08-10,17RMJ,2023-08-10 23:28:22.341000+00:00,2023-08-10
4,"POLYGON ((-82.50808 27.799715, -82.151909 26.166521, -79.640427 26.582178, -79.957832 28.212536, -82.50808 27.799715))",27.196,-81.0669,2023-05-06T23:29:10.474Z,S1A_IW_SLC__1SDV_20230506T232843_20230506T232910_048420_05D2FD_F624-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230506T232843_20230506T232910_048420_05D2FD_F624.zip,2023-05-06 23:28:43.402000+00:00,S1A_IW_SLC__1SDV_20230506T232843_20230506T232910_048420_05D2FD_F624,,Sentinel-1A,4494108552,8c07bdfe3f68741c9992c7351a68a194,84,SENTINEL_1A_FRAME,48420,VV+VH,2023-05-06T23:28:43.402Z,C-SAR,S1A_IWDV_0083_0090_048420_048,003.61,S1A_IW_SLC__1SDV_20230506T232843_20230506T232910_048420_05D2FD_F624.zip,IW,2023-05-06,17RMJ,2023-05-06 23:28:43.402000+00:00,2023-05-06
5,"POLYGON ((-82.18129 26.301832, -81.817795 24.616545, -79.340164 25.035053, -79.66674 26.717247, -82.18129 26.301832))",25.673,-80.7536,2023-05-06T23:28:45.645Z,S1A_IW_SLC__1SDV_20230506T232817_20230506T232845_048420_05D2FD_415C-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230506T232817_20230506T232845_048420_05D2FD_415C.zip,2023-05-06 23:28:17.720000+00:00,S1A_IW_SLC__1SDV_20230506T232817_20230506T232845_048420_05D2FD_415C,,Sentinel-1A,4350640680,7286636de8716df04cf007c2c2b5b6f5,79,SENTINEL_1A_FRAME,48420,VV+VH,2023-05-06T23:28:17.720Z,C-SAR,S1A_IWDV_0078_0085_048420_048,003.61,S1A_IW_SLC__1SDV_20230506T232817_20230506T232845_048420_05D2FD_415C.zip,IW,2023-05-06,17RMJ,2023-05-06 23:28:17.720000+00:00,2023-05-06
6,"POLYGON ((-82.507927 27.800348, -82.151672 26.166914, -79.640167 26.582611, -79.957649 28.213209, -82.507927 27.800348))",27.1965,-81.0666,2023-04-24T23:29:09.793Z,S1A_IW_SLC__1SDV_20230424T232842_20230424T232909_048245_05CD1E_6DB1-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230424T232842_20230424T232909_048245_05CD1E_6DB1.zip,2023-04-24 23:28:42.717000+00:00,S1A_IW_SLC__1SDV_20230424T232842_20230424T232909_048245_05CD1E_6DB1,,Sentinel-1A,4471599516,ed9452484e32c6b25c5d4221d2c017b6,84,SENTINEL_1A_FRAME,48245,VV+VH,2023-04-24T23:28:42.717Z,C-SAR,S1A_IWDV_0083_0090_048245_048,003.61,S1A_IW_SLC__1SDV_20230424T232842_20230424T232909_048245_05CD1E_6DB1.zip,IW,2023-04-24,17RMJ,2023-04-24 23:28:42.717000+00:00,2023-04-24
7,"POLYGON ((-82.18103 26.302101, -81.817505 24.616821, -79.33979 25.035379, -79.666397 26.717566, -82.18103 26.302101))",25.6733,-80.7533,2023-04-24T23:28:44.958Z,S1A_IW_SLC__1SDV_20230424T232817_20230424T232844_048245_05CD1E_9348-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230424T232817_20230424T232844_048245_05CD1E_9348.zip,2023-04-24 23:28:17.033000+00:00,S1A_IW_SLC__1SDV_20230424T232817_20230424T232844_048245_05CD1E_9348,,Sentinel-1A,4249878903,5e8b312f992ffb51f63bae1239cf9fc1,79,SENTINEL_1A_FRAME,48245,VV+VH,2023-04-24T23:28:17.033Z,C-SAR,S1A_IWDV_0078_0085_048245_048,003.61,S1A_IW_SLC__1SDV_20230424T232817_20230424T232844_048245_05CD1E_9348.zip,IW,2023-04-24,17RMJ,2023-04-24 23:28:17.033000+00:00,2023-04-24
8,"POLYGON ((-82.509277 27.799471, -82.153175 26.166803, -79.641266 26.582596, -79.958603 28.212429, -82.509277 27.799471))",27.1961,-81.0679,2023-04-12T23:29:09.430Z,S1A_IW_SLC__1SDV_20230412T232842_20230412T232909_048070_05C746_8554-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230412T232842_20230412T232909_048070_05C746_8554.zip,2023-04-12 23:28:42.366000+00:00,S1A_IW_SLC__1SDV_20230412T232842_20230412T232909_048070_05C746_8554,,Sentinel-1A,4537984644,1e33c0e587caba5906e8a51b72a42db5,84,SENTINEL_1A_FRAME,48070,VV+VH,2023-04-12T23:28:42.366Z,C-SAR,S1A_IWDV_0083_0090_048070_048,003.61,S1A_IW_SLC__1SDV_20230412T232842_20230412T232909_048070_05C746_8554.zip,IW,2023-04-12,17RMJ,2023-04-12 23:28:42.366000+00:00,2023-04-12
9,"POLYGON ((-82.18248 26.301743, -81.819 24.616735, -79.340912 25.035383, -79.667473 26.717297, -82.18248 26.301743))",25.6732,-80.7546,2023-04-12T23:28:44.603Z,S1A_IW_SLC__1SDV_20230412T232816_20230412T232844_048070_05C746_B558-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230412T232816_20230412T232844_048070_05C746_B558.zip,2023-04-12 23:28:16.682000+00:00,S1A_IW_SLC__1SDV_20230412T232816_20230412T232844_048070_05C746_B558,,Sentinel-1A,4418662520,6c18fba49de5fed3253f2d33ccd44144,79,SENTINEL_1A_FRAME,48070,VV+VH,2023-04-12T23:28:16.682Z,C-SAR,S1A_IWDV_0078_0085_048070_048,003.61,S1A_IW_SLC__1SDV_20230412T232816_20230412T232844_048070_05C746_B558.zip,IW,2023-04-12,17RMJ,2023-04-12 23:28:16.682000+00:00,2023-04-12
