,geometry,centerLat,centerLon,stopTime,fileID,flightDirection,pathNumber,processingLevel,url,startTime,sceneName,browse,platform,bytes,md5sum,frameNumber,granuleType,orbit,polarization,processingDate,sensor,groupID,pgeVersion,fileName,beamModeType,date_str,mgrs_tile_id,acq_dt,acq_date
2,"POLYGON ((-82.509453 27.799473, -82.153252 26.16655, -79.641655 26.582308, -79.959091 28.212397, -82.509453 27.799473))",27.1959,-81.0682,2023-10-21T23:29:18.077Z,S1A_IW_SLC__1SDV_20231021T232851_20231021T232918_050870_0621A9_D12A-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231021T232851_20231021T232918_050870_0621A9_D12A.zip,2023-10-21 23:28:51.009000+00:00,S1A_IW_SLC__1SDV_20231021T232851_20231021T232918_050870_0621A9_D12A,,Sentinel-1A,7744558708,3fcae79b975f39a88f05c8df5d92da35,84,SENTINEL_1A_FRAME,50870,VV+VH,2023-10-21T23:28:51.009Z,C-SAR,S1A_IWDV_0083_0090_050870_048,003.71,S1A_IW_SLC__1SDV_20231021T232851_20231021T232918_050870_0621A9_D12A.zip,IW,2023-10-21,17RMJ,2023-10-21 23:28:51.009000+00:00,2023-10-21
3,"POLYGON ((-82.182564 26.301489, -81.819061 24.616596, -79.341293 25.035206, -79.66787 26.717007, -82.182564 26.301489))",25.6729,-80.7548,2023-10-21T23:28:53.246Z,S1A_IW_SLC__1SDV_20231021T232825_20231021T232853_050870_0621A9_ED33-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231021T232825_20231021T232853_050870_0621A9_ED33.zip,2023-10-21 23:28:25.327000+00:00,S1A_IW_SLC__1SDV_20231021T232825_20231021T232853_050870_0621A9_ED33,,Sentinel-1A,8040612482,29d1fb2951ba11da514010c558800c4d,79,SENTINEL_1A_FRAME,50870,VV+VH,2023-10-21T23:28:25.327Z,C-SAR,S1A_IWDV_0078_0085_050870_048,003.71,S1A_IW_SLC__1SDV_20231021T232825_20231021T232853_050870_0621A9_ED33.zip,IW,2023-10-21,17RMJ,2023-10-21 23:28:25.327000+00:00,2023-10-21
6,"POLYGON ((-82.507217 27.799875, -82.151085 26.167196, -79.639534 26.582928, -79.956902 28.212774, -82.507217 27.799875))",27.1964,-81.066,2023-10-09T23:29:17.708Z,S1A_IW_SLC__1SDV_20231009T232850_20231009T232917_050695_061BB6_541E-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231009T232850_20231009T232917_050695_061BB6_541E.zip,2023-10-09 23:28:50.644000+00:00,S1A_IW_SLC__1SDV_20231009T232850_20231009T232917_050695_061BB6_541E,,Sentinel-1A,7744655954,5cf1bd3b0b3c8806d2414e2737f6f4af,84,SENTINEL_1A_FRAME,50695,VV+VH,2023-10-09T23:28:50.644Z,C-SAR,S1A_IWDV_0083_0090_050695_048,003.61,S1A_IW_SLC__1SDV_20231009T232850_20231009T232917_050695_061BB6_541E.zip,IW,2023-10-09,17RMJ,2023-10-09 23:28:50.644000+00:00,2023-10-09
7,"POLYGON ((-82.180283 26.30164, -81.816826 24.616867, -79.339104 25.03545, -79.665642 26.717133, -82.180283 26.30164))",25.6731,-80.7526,2023-10-09T23:28:52.873Z,S1A_IW_SLC__1SDV_20231009T232824_20231009T232852_050695_061BB6_BDFF-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231009T232824_20231009T232852_050695_061BB6_BDFF.zip,2023-10-09 23:28:24.956000+00:00,S1A_IW_SLC__1SDV_20231009T232824_20231009T232852_050695_061BB6_BDFF,,Sentinel-1A,8040565113,f1f708e0556b6f89a1385c409be1205e,79,SENTINEL_1A_FRAME,50695,VV+VH,2023-10-09T23:28:24.956Z,C-SAR,S1A_IWDV_0078_0085_050695_048,003.61,S1A_IW_SLC__1SDV_20231009T232824_20231009T232852_050695_061BB6_BDFF.zip,IW,2023-10-09,17RMJ,2023-10-09 23:28:24.956000+00:00,2023-10-09
10,"POLYGON ((-82.507454 27.800344, -82.151329 26.167536, -79.639694 26.583239, -79.957054 28.213213, -82.507454 27.800344))",27.1968,-81.0662,2023-09-27T23:29:17.720Z,S1A_IW_SLC__1SDV_20230927T232850_20230927T232917_050520_0615B4_C458-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230927T232850_20230927T232917_050520_0615B4_C458.zip,2023-09-27 23:28:50.654000+00:00,S1A_IW_SLC__1SDV_20230927T232850_20230927T232917_050520_0615B4_C458,,Sentinel-1A,7744897405,b4b786c8069f519dc724c2123914f4ef,84,SENTINEL_1A_FRAME,50520,VV+VH,2023-09-27T23:28:50.654Z,C-SAR,S1A_IWDV_0083_0090_050520_048,003.61,S1A_IW_SLC__1SDV_20230927T232850_20230927T232917_050520_0615B4_C458.zip,IW,2023-09-27,17RMJ,2023-09-27 23:28:50.654000+00:00,2023-09-27
11,"POLYGON ((-82.180656 26.302599, -81.817123 24.617325, -79.339325 25.035883, -79.665924 26.718063, -82.180656 26.302599))",25.6738,-80.7529,2023-09-27T23:28:52.893Z,S1A_IW_SLC__1SDV_20230927T232824_20230927T232852_050520_0615B4_A16D-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230927T232824_20230927T232852_050520_0615B4_A16D.zip,2023-09-27 23:28:24.968000+00:00,S1A_IW_SLC__1SDV_20230927T232824_20230927T232852_050520_0615B4_A16D,,Sentinel-1A,8040895486,63756d6046c15c1ddb97ccf793b048e4,79,SENTINEL_1A_FRAME,50520,VV+VH,2023-09-27T23:28:24.968Z,C-SAR,S1A_IWDV_0078_0085_050520_048,003.61,S1A_IW_SLC__1SDV_20230927T232824_20230927T232852_050520_0615B4_A16D.zip,IW,2023-09-27,17RMJ,2023-09-27 23:28:24.968000+00:00,2023-09-27
14,"POLYGON ((-82.507378 27.80027, -82.151283 26.16745, -79.639801 26.583101, -79.957138 28.213087, -82.507378 27.80027))",27.1967,-81.0662,2023-09-15T23:29:17.600Z,S1A_IW_SLC__1SDV_20230915T232850_20230915T232917_050345_060FB6_8AB3-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230915T232850_20230915T232917_050345_060FB6_8AB3.zip,2023-09-15 23:28:50.535000+00:00,S1A_IW_SLC__1SDV_20230915T232850_20230915T232917_050345_060FB6_8AB3,,Sentinel-1A,4450625326,a9cd24bd48012ef1efd26d63ec1fc24b,84,SENTINEL_1A_FRAME,50345,VV+VH,2023-09-15T23:28:50.535Z,C-SAR,S1A_IWDV_0083_0090_050345_048,003.61,S1A_IW_SLC__1SDV_20230915T232850_20230915T232917_050345_060FB6_8AB3.zip,IW,2023-09-15,17RMJ,2023-09-15 23:28:50.535000+00:00,2023-09-15
15,"POLYGON ((-82.18058 26.302389, -81.817055 24.61698, -79.339401 25.035486, -79.666 26.717804, -82.18058 26.302389))",25.6735,-80.7529,2023-09-15T23:28:52.771Z,S1A_IW_SLC__1SDV_20230915T232824_20230915T232852_050345_060FB6_DE68-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230915T232824_20230915T232852_050345_060FB6_DE68.zip,2023-09-15 23:28:24.844000+00:00,S1A_IW_SLC__1SDV_20230915T232824_20230915T232852_050345_060FB6_DE68,,Sentinel-1A,4224527041,536796d2825386140e8dad8cf808bee4,79,SENTINEL_1A_FRAME,50345,VV+VH,2023-09-15T23:28:24.844Z,C-SAR,S1A_IWDV_0078_0085_050345_048,003.61,S1A_IW_SLC__1SDV_20230915T232824_20230915T232852_050345_060FB6_DE68.zip,IW,2023-09-15,17RMJ,2023-09-15 23:28:24.844000+00:00,2023-09-15
18,"POLYGON ((-82.508621 27.79929, -82.152573 26.166853, -79.641014 26.582571, -79.958313 28.212175, -82.508621 27.79929))",27.196,-81.0674,2023-09-03T23:29:17.191Z,S1A_IW_SLC__1SDV_20230903T232850_20230903T232917_050170_0609CA_7C3F-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230903T232850_20230903T232917_050170_0609CA_7C3F.zip,2023-09-03 23:28:50.132000+00:00,S1A_IW_SLC__1SDV_20230903T232850_20230903T232917_050170_0609CA_7C3F,,Sentinel-1A,4487183257,86f8e06b89f261f92461d8d8162203eb,84,SENTINEL_1A_FRAME,50170,VV+VH,2023-09-03T23:28:50.132Z,C-SAR,S1A_IWDV_0083_0090_050170_048,003.61,S1A_IW_SLC__1SDV_20230903T232850_20230903T232917_050170_0609CA_7C3F.zip,IW,2023-09-03,17RMJ,2023-09-03 23:28:50.132000+00:00,2023-09-03
19,"POLYGON ((-82.181763 26.301296, -81.818306 24.616394, -79.340584 25.034967, -79.667122 26.716778, -82.181763 26.301296))",25.6727,-80.754,2023-09-03T23:28:52.360Z,S1A_IW_SLC__1SDV_20230903T232824_20230903T232852_050170_0609CA_DC29-SLC,ASCENDING,48,SLC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230903T232824_20230903T232852_050170_0609CA_DC29.zip,2023-09-03 23:28:24.442000+00:00,S1A_IW_SLC__1SDV_20230903T232824_20230903T232852_050170_0609CA_DC29,,Sentinel-1A,4421220643,ecf8d348112b2814825fd51202d8672a,79,SENTINEL_1A_FRAME,50170,VV+VH,2023-09-03T23:28:24.442Z,C-SAR,S1A_IWDV_0078_0085_050170_048,003.61,S1A_IW_SLC__1SDV_20230903T232824_20230903T232852_050170_0609CA_DC29.zip,IW,2023-09-03,17RMJ,2023-09-03 23:28:24.442000+00:00,2023-09-03
